Course,,Discipline,,,CGPA,Company [on-campus/ off-campus/PPO],,Profile,,CTC Offered,,Type of Offer,
B.Tech,,Electrical Engineering,,,7.51,Merilytics,,Senior Business Analyst,,9.5,,On-Campus,
B.Tech,,Electrical Engineering,,,8.42,Merilytics,,Senior Business Analyst,,9.5,,On-Campus,
B.Tech,,Electrical Engineering,,,6.99,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Electrical Engineering,,,7.96,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Electrical Engineering,,,8.22,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Electrical Engineering,,,8.42,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Electrical Engineering,,,8.67,Microsoft India,,,,46.08,,On-Campus,
B.Tech,,Electrical Engineering,,,8.95,Microsoft India,,,,45.03,,PPO,
B.Tech,,Electrical Engineering,,,8.03,Money Forward,,,,45.08,,On-Campus,
B.Tech,,Electrical Engineering,,,7.62,Morgan Stanley,,,,25.33,,On-Campus,
B.Tech,,Electrical Engineering,,,8.04,Myntra,,,,30,,On-Campus,
B.Tech,,Electrical Engineering,,,8.26,Myntra,,,,30,,On-Campus,
B.Tech,,Electrical Engineering,,,6.96,Nucleus Software,,ASE,,10,,On-Campus,
B.Tech,,Electrical Engineering,,,7.76,Nucleus Software,,ASE,,10,,On-Campus,
B.Tech,,Electrical Engineering,,,7.66,Oracle,,,,31.95,,On-Campus,
B.Tech,,Electrical Engineering,,,7.61,Paytm,,SRIB,,21,,On-Campus,
B.Tech,,Electrical Engineering,,,8.24,Paytm,,SRIB,,21,,On-Campus,
B.Tech,,Electrical Engineering,,,6.29,PWC,,,,10,,On-Campus,
B.Tech,,Electrical Engineering,,,8.34,PWC,,,,10,,On-Campus,
B.Tech,,Electrical Engineering,,,6.35,Reliance Jio (TS2),,,,15,,On-Campus,
B.Tech,,Electrical Engineering,,,6.56,Reliance Jio (TS2),,,,15,,On-Campus,
B.Tech,,Electrical Engineering,,,7.09,Reliance Jio (TS2),,,,15,,On-Campus,
B.Tech,,Electrical Engineering,,,7.48,Reliance Jio (TS2),,,,15,,On-Campus,
B.Tech,,Electrical Engineering,,,8.53,"Samsung Research Institute, Bangalore",,Software Develper,,20,,PPO,
B.Tech,,Electrical Engineering,,,8.58,"Samsung Research Institute, Bangalore",,,,40,,On-Campus,
B.Tech,,Electrical Engineering,,,7.86,Sandvine,,,,18.45,,On-Campus,
B.Tech,,Electrical Engineering,,,7.7,Sling Media,,,,12.72,,On-Campus,
B.Tech,,Electrical Engineering,,,8.06,Sprinklr,,Product Analyst,,18,,On-Campus,
B.Tech,,Electrical Engineering,,,8.18,Sprinklr,,Product Analyst,,18,,On-Campus,
B.Tech,,Electrical Engineering,,,8.63,Sterlite Technologies LTD,,GET,,16,,On-Campus,
B.Tech,,Electrical Engineering,,,8.7,Sterlite Technologies LTD,,GET,,16,,On-Campus,
B.Tech,,Electrical Engineering,,,7.08,SUDLife,,GET - SDE I – Digital Transformation,,,,On-Campus,
B.Tech,,Electrical Engineering,,,7.88,Toppr,,,,21,,On-Campus,
B.Tech,,Electrical Engineering,,,8.52,Toppr,,,,21,,On-Campus,
B.Tech,,Electrical Engineering,,,8.57,Unacademy,,,,20,,On-Campus,
B.Tech,,Electrical Engineering,,,8.57,Walmart,,,,29,,On-Campus,
B.Tech,,Electrical Engineering,,,8.75,Walmart,,,,29,,On-Campus,
B.Tech,,Electrical Engineering,,,7.78,Zomato,,,,20,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,6.71,Accenture India,,,,15.92,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,8.18,Amazon India,,,,44.1,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,8.21,Amazon India,,,,44.1,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,8.36,Amazon India,,,,44.1,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,8.4,Amazon India,,,,44.1,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,8.57,Amazon India,,,,44.1,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,6.14,Amdocs,,,,10,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,6.29,Amdocs,,,,10,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,6.38,Amdocs,,,,10,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,6.57,Amdocs,,,,10,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,6.8,Amdocs,,,,10,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,7.05,Amdocs,,,,10,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,8.23,Amdocs,,,,10,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,8.11,Atlassian,,,,26.57,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,6.7,Axis Bank,,Analyst,,14,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,7.49,Barclays,,Business Analyst,,18.7,,PPO,
B.Tech,,Electronics & Communication Engineering,,,8.45,Barclays,,Business Analyst,,18.7,,PPO,
B.Tech,,Electronics & Communication Engineering,,,5.9,Beehyv,,Developer- Trainee,,7,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,7.91,Beehyv,,,,7,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,6.76,Bharat Electronics Ltd.,,,,11.04,,On-Campus,
B.Tech,,Electronics & Communication Engineering,,,8,Bharat Electronics Ltd.,,,,11.04,,On-Campus,
